"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class","Deleted"
"359","27","BET","41","44","1:10.692","108.8","47:50.368","10:30:32.766","150","157","3","","7647018","0","","R1","No"
"360","8","Team Skeppsbrons","42","44","1:07.884","113.3","48:05.321","10:30:47.719","123","152","3","","4867808","0","","R1","No"
"361","30","Team Gävlarna","42","44","1:06.420","115.8","48:05.582","10:30:47.980","131","164","3","","3289056","0","","R1","No"
"362","3","Häzen","41","44","1:09.548","110.6","48:25.818","10:31:08.216","117","149","3","","9515691","0","","R1","No"
"363","117","Roslagen Racing BMW 323 compact","35","44","1:13.192","105.1","48:33.137","10:31:15.535","103","149","7","","7722653","0","","Standard","No"
"364","190","MoMo Racing Team MRT","41","44","1:09.638","110.5","48:40.099","10:31:22.497","123","158","7","","7493526","0","","R2","No"
"365","47","Nordic Light Racing","45","45","1:03.118","121.9","48:41.767","10:31:24.165","107","178","7","","7650748","0","","R2","No"
"366","10","Tommes Pack Seat Leon","45","45","1:03.392","121.4","48:52.474","10:31:34.872","156","177","7","","9788538","0","","R2","No"
"367","8","Team Skeppsbrons","43","45","1:07.244","114.4","49:12.565","10:31:54.963","138","158","7","","4867808","0","","R1","No"
"368","30","Team Gävlarna","43","45","1:07.444","114.1","49:13.026","10:31:55.424","135","164","7","","3289056","0","","R1","No"
"369","27","BET","42","45","1:23.812","91.8","49:14.180","10:31:56.578","214","155","7","","7647018","0","","R1","No"
"370","3","Häzen","42","45","1:11.813","107.1","49:37.631","10:32:20.029","98","147","3","","9515691","0","","R1","No"
"371","47","Nordic Light Racing","46","46","1:03.805","120.6","49:45.572","10:32:27.970","107","178","3","","7650748","0","","R2","No"
"372","117","Roslagen Racing BMW 323 compact","36","46","1:14.892","102.7","49:48.029","10:32:30.427","100","149","3","","7722653","0","","Standard","No"
"373","190","MoMo Racing Team MRT","42","46","1:09.357","110.9","49:49.456","10:32:31.854","123","158","3","","7493526","0","","R2","No"
"374","10","Tommes Pack Seat Leon","46","46","1:03.699","120.8","49:56.173","10:32:38.571","150","178","3","","9788538","0","","R2","No"
"375","8","Team Skeppsbrons","44","46","1:07.592","113.8","50:20.157","10:33:02.555","131","154","3","","4867808","0","","R1","No"
"376","30","Team Gävlarna","44","46","1:08.039","113.1","50:21.065","10:33:03.463","124","162","3","","3289056","0","","R1","No"
"377","27","BET","43","46","1:27.348","88.1","50:41.528","10:33:23.926","132","156","4","","7647018","0","","R1","No"
"378","3","Häzen","43","46","1:08.921","111.6","50:46.552","10:33:28.950","113","148","4","","9515691","0","","R1","No"
"379","47","Nordic Light Racing","47","47","1:04.780","118.8","50:50.352","10:33:32.750","112","178","4","","7650748","0","","R2","No"
"380","190","MoMo Racing Team MRT","43","47","1:09.226","111.1","50:58.682","10:33:41.080","122","158","4","","7493526","0","","R2","No"
"381","10","Tommes Pack Seat Leon","47","47","1:04.772","118.8","51:00.945","10:33:43.343","162","181","4","","9788538","0","","R2","No"
"382","117","Roslagen Racing BMW 323 compact","37","47","1:14.796","102.9","51:02.825","10:33:45.223","103","150","4","","7722653","0","","Standard","No"
"383","30","Team Gävlarna","45","47","1:06.385","115.9","51:27.450","10:34:09.848","130","165","4","","3289056","0","","R1","No"
"384","8","Team Skeppsbrons","45","47","1:07.888","113.3","51:28.045","10:34:10.443","137","153","4","","4867808","0","","R1","No"
"385","47","Nordic Light Racing","48","48","1:04.150","119.9","51:54.502","10:34:36.900","114","178","4","","7650748","0","","R2","No"
"386","27","BET","44","48","1:13.540","104.6","51:55.068","10:34:37.466","129","158","4","","7647018","0","","R1","No"
"387","3","Häzen","44","48","1:09.568","110.6","51:56.120","10:34:38.518","101","148","4","","9515691","0","","R1","No"
"388","10","Tommes Pack Seat Leon","48","48","1:03.797","120.6","52:04.742","10:34:47.140","156","178","4","","9788538","0","","R2","No"
"389","190","MoMo Racing Team MRT","44","48","1:09.040","111.4","52:07.722","10:34:50.120","119","158","4","","7493526","0","","R2","No"
"390","117","Roslagen Racing BMW 323 compact","38","48","1:14.370","103.4","52:17.195","10:34:59.593","99","150","4","","7722653","0","","Standard","No"
"391","30","Team Gävlarna","46","48","1:06.360","115.9","52:33.810","10:35:16.208","125","162","3","","3289056","0","","R1","No"
"392","8","Team Skeppsbrons","46","48","1:06.483","115.7","52:34.528","10:35:16.926","122","152","3","","4867808","0","","R1","No"
"393","47","Nordic Light Racing","49","49","1:02.925","122.3","52:57.427","10:35:39.825","110","178","3","","7650748","0","","R2","No"
"394","27","BET","45","49","1:07.576","113.8","53:02.644","10:35:45.042","131","158","3","","7647018","0","","R1","No"
"395","3","Häzen","45","49","1:09.319","111.0","53:05.439","10:35:47.837","92","145","3","","9515691","0","","R1","No"
"396","10","Tommes Pack Seat Leon","49","49","1:03.803","120.6","53:08.545","10:35:50.943","146","178","3","","9788538","0","","R2","No"
"397","190","MoMo Racing Team MRT","45","49","1:09.340","110.9","53:17.062","10:35:59.460","127","163","3","","7493526","0","","R2","No"
"398","117","Roslagen Racing BMW 323 compact","39","49","1:14.500","103.3","53:31.695","10:36:14.093","91","147","4","","7722653","0","","Standard","No"
"399","30","Team Gävlarna","47","49","1:06.386","115.9","53:40.196","10:36:22.594","120","161","4","","3289056","0","","R1","No"
"400","8","Team Skeppsbrons","47","49","1:07.053","114.7","53:41.581","10:36:23.979","130","153","4","","4867808","0","","R1","No"
"401","47","Nordic Light Racing","50","50","1:02.195","123.7","53:59.622","10:36:42.020","108","177","4","","7650748","0","","R2","No"
"402","27","BET","46","50","1:07.728","113.6","54:10.372","10:36:52.770","130","159","4","","7647018","0","","R1","No"
"403","10","Tommes Pack Seat Leon","50","50","1:02.965","122.2","54:11.510","10:36:53.908","155","179","4","","9788538","0","","R2","No"
"404","3","Häzen","46","50","1:09.323","111.0","54:14.762","10:36:57.160","96","146","4","","9515691","0","","R1","No"
"405","190","MoMo Racing Team MRT","46","50","1:10.085","109.8","54:27.147","10:37:09.545","122","157","4","","7493526","0","","R2","No"
"406","117","Roslagen Racing BMW 323 compact","40","50","1:14.493","103.3","54:46.188","10:37:28.586","110","153","3","","7722653","0","","Standard","No"
"407","30","Team Gävlarna","48","50","1:06.333","116.0","54:46.529","10:37:28.927","111","159","3","","3289056","0","","R1","No"
"408","8","Team Skeppsbrons","48","50","1:07.240","114.4","54:48.821","10:37:31.219","129","150","3","","4867808","0","","R1","No"
"409","47","Nordic Light Racing","51","51","1:02.813","122.5","55:02.435","10:37:44.833","127","179","3","","7650748","0","","R2","No"
"410","10","Tommes Pack Seat Leon","51","51","1:04.194","119.8","55:15.704","10:37:58.102","160","177","3","","9788538","0","","R2","No"
"411","27","BET","47","51","1:09.038","111.4","55:19.410","10:38:01.808","128","155","3","","7647018","0","","R1","No"
"412","3","Häzen","47","51","1:09.916","110.0","55:24.678","10:38:07.076","101","146","3","","9515691","0","","R1","No"
"413","190","MoMo Racing Team MRT","47","51","1:10.138","109.7","55:37.285","10:38:19.683","129","160","3","","7493526","0","","R2","No"
"414","30","Team Gävlarna","49","51","1:06.908","115.0","55:53.437","10:38:35.835","168","161","3","","3289056","0","","R1","No"
"415","117","Roslagen Racing BMW 323 compact","41","51","1:18.717","97.7","56:04.905","10:38:47.303","202","146","3","","7722653","0","","Standard","No"
"416","","Yellow Flag","","","","","56:38.799","10:39:21.197","","","","","","","","",""
"417","","Green Flag","","","","","56:40.315","10:39:22.713","","","","","","","","",""
"418","3","Häzen","48","51","1:47.468","71.6","57:12.146","10:39:54.544","157","148","3","","9515691","0","","R1","No"
"419","555","Team Hau Nau","22","51","17:13.313","7.4","57:27.700","10:40:10.098","70","145","3","","7637509","0","","R1","No"
"420","117","Roslagen Racing BMW 323 compact","42","51","1:31.618","84.0","57:36.523","10:40:18.921","105","152","4","","7722653","0","","Standard","No"
"421","99999","Miata TOT592","0","51","","0.0","58:05.117","10:40:47.515","131","173","4","","2546610","0","","rest","No"
"422","3","Häzen","49","51","1:10.088","109.8","58:22.234","10:41:04.632","95","147","4","","9515691","0","","R1","No"
"423","555","Team Hau Nau","23","51","1:07.972","113.2","58:35.672","10:41:18.070","65","146","3","","7637509","0","","R1","No"
"424","117","Roslagen Racing BMW 323 compact","43","51","1:14.346","103.5","58:50.869","10:41:33.267","103","152","3","","7722653","0","","Standard","No"
"425","99999","Miata TOT592","1","51","1:17.694","99.0","59:22.811","10:42:05.209","129","176","3","","2546610","0","","rest","No"
"426","555","Team Hau Nau","24","51","1:07.346","114.2","59:43.018","10:42:25.416","68","147","4","","7637509","0","","R1","No"
"427","117","Roslagen Racing BMW 323 compact","44","51","1:14.052","103.9","1:00:04.921","10:42:47.319","92","146","4","","7722653","0","","Standard","No"
"428","99999","Miata TOT592","2","51","1:15.662","101.7","1:00:38.473","10:43:20.871","133","178","3","","2546610","0","","rest","No"
"429","555","Team Hau Nau","25","51","1:08.741","111.9","1:00:51.759","10:43:34.157","84","150","3","","7637509","0","","R1","No"
"430","8","Team Skeppsbrons","49","51","6:07.695","20.9","1:00:56.516","10:43:38.914","124","152","3","","4867808","0","","R1","No"
"431","117","Roslagen Racing BMW 323 compact","45","51","1:11.827","107.1","1:01:16.748","10:43:59.146","103","152","3","","7722653","0","","Standard","No"
"432","47","Nordic Light Racing","52","52","6:23.741","20.0","1:01:26.176","10:44:08.574","117","183","3","","7650748","0","","R2","No"
"433","10","Tommes Pack Seat Leon","52","52","6:20.634","20.2","1:01:36.338","10:44:18.736","158","180","10","","9788538","0","","R2","No"
"434","555","Team Hau Nau","26","52","1:08.748","111.9","1:02:00.507","10:44:42.905","84","148","10","","7637509","0","","R1","No"
"435","8","Team Skeppsbrons","50","52","1:12.258","106.5","1:02:08.774","10:44:51.172","137","157","10","","4867808","0","","R1","No"
"436","99999","Miata TOT592","3","52","1:37.214","79.1","1:02:15.687","10:44:58.085","126","176","10","","2546610","0","","rest","No"
"437","30","Team Gävlarna","50","52","6:27.089","19.9","1:02:20.526","10:45:02.924","134","164","10","","3289056","0","","R1","No"
"438","117","Roslagen Racing BMW 323 compact","46","52","1:14.450","103.3","1:02:31.198","10:45:13.596","144","154","3","","7722653","0","","Standard","No"
"439","47","Nordic Light Racing","53","53","1:08.328","112.6","1:02:34.504","10:45:16.902","115","182","3","","7650748","0","","R2","No"
"440","10","Tommes Pack Seat Leon","53","53","1:11.941","106.9","1:02:48.279","10:45:30.677","198","179","3","","9788538","0","","R2","No"
"441","555","Team Hau Nau","27","53","1:29.746","85.7","1:03:30.253","10:46:12.651","88","149","3","","7637509","0","","R1","No"
"442","8","Team Skeppsbrons","51","53","1:23.700","91.9","1:03:32.474","10:46:14.872","170","156","3","","4867808","0","","R1","No"
"443","30","Team Gävlarna","51","53","1:22.479","93.3","1:03:43.005","10:46:25.403","213","164","3","","3289056","0","","R1","No"
"444","47","Nordic Light Racing","54","54","1:11.385","107.8","1:03:45.889","10:46:28.287","212","181","3","","7650748","0","","R2","No"
"445","99999","Miata TOT592","4","54","1:30.810","84.7","1:03:46.497","10:46:28.895","222","176","3","","2546610","0","","rest","No"
"446","117","Roslagen Racing BMW 323 compact","47","54","1:20.051","96.1","1:03:51.249","10:46:33.647","189","148","3","","7722653","0","","Standard","No"
"447","10","Tommes Pack Seat Leon","54","54","1:12.646","105.9","1:04:00.925","10:46:43.323","205","180","3","","9788538","0","","R2","No"
"448","27","BET","48","54","9:29.248","13.5","1:04:48.658","10:47:31.056","331","160","4","","7647018","0","","R1","No"
"449","3","Häzen","50","54","6:29.502","19.8","1:04:51.736","10:47:34.134","168","148","4","","9515691","0","","R1","No"
"450","555","Team Hau Nau","28","54","1:22.184","93.6","1:04:52.437","10:47:34.835","149","151","4","","7637509","0","","R1","No"
"451","8","Team Skeppsbrons","52","54","1:22.484","93.3","1:04:54.958","10:47:37.356","248","156","4","","4867808","0","","R1","No"
"452","30","Team Gävlarna","52","54","1:44.528","73.6","1:05:27.533","10:48:09.931","258","165","4","","3289056","0","","R1","No"
"453","47","Nordic Light Racing","55","55","1:48.756","70.7","1:05:34.645","10:48:17.043","235","183","4","","7650748","0","","R2","No"
"454","117","Roslagen Racing BMW 323 compact","48","55","1:50.629","69.5","1:05:41.878","10:48:24.276","158","152","4","","7722653","0","","Standard","No"
"455","10","Tommes Pack Seat Leon","55","55","1:45.696","72.8","1:05:46.621","10:48:29.019","260","181","4","","9788538","0","","R2","No"
"456","190","MoMo Racing Team MRT","48","55","11:35.206","11.1","1:07:12.491","10:49:54.889","295","163","4","","7493526","0","","R2","No"
"457","27","BET","49","55","2:31.610","50.7","1:07:20.268","10:50:02.666","491","160","4","","7647018","0","","R1","No"
"458","3","Häzen","51","55","2:29.899","51.3","1:07:21.635","10:50:04.033","381","150","4","","9515691","0","","R1","No"
"459","555","Team Hau Nau","29","55","2:30.422","51.1","1:07:22.859","10:50:05.257","379","155","4","","7637509","0","","R1","No"
"460","8","Team Skeppsbrons","53","55","2:29.145","51.6","1:07:24.103","10:50:06.501","605","160","4","","4867808","0","","R1","No"
"461","30","Team Gävlarna","53","55","2:10.676","58.9","1:07:38.209","10:50:20.607","472","164","3","","3289056","0","","R1","No"
"462","47","Nordic Light Racing","56","56","2:07.840","60.2","1:07:42.485","10:50:24.883","512","182","3","","7650748","0","","R2","No"
"463","117","Roslagen Racing BMW 323 compact","49","56","2:06.262","60.9","1:07:48.140","10:50:30.538","416","153","3","","7722653","0","","Standard","No"
"464","10","Tommes Pack Seat Leon","56","56","2:09.051","59.6","1:07:55.672","10:50:38.070","486","181","3","","9788538","0","","R2","No"
"465","99999","Miata TOT592","5","56","4:14.356","30.2","1:08:00.853","10:50:43.251","364","179","3","","2546610","0","","rest","No"
"466","190","MoMo Racing Team MRT","49","56","2:08.090","60.1","1:09:20.581","10:52:02.979","140","163","11","","7493526","0","","R2","No"
"467","27","BET","50","56","2:03.619","62.2","1:09:23.887","10:52:06.285","138","159","11","","7647018","0","","R1","No"
"468","3","Häzen","52","56","2:02.632","62.7","1:09:24.267","10:52:06.665","101","147","11","","9515691","0","","R1","No"
"469","8","Team Skeppsbrons","54","56","2:01.984","63.1","1:09:26.087","10:52:08.485","141","158","11","","4867808","0","","R1","No"
"470","555","Team Hau Nau","30","56","2:03.523","62.3","1:09:26.382","10:52:08.780","72","145","11","","7637509","0","","R1","No"
"471","47","Nordic Light Racing","57","57","1:48.969","70.6","1:09:31.454","10:52:13.852","113","180","3","","7650748","0","","R2","No"
"472","30","Team Gävlarna","54","57","1:53.662","67.7","1:09:31.871","10:52:14.269","147","165","3","","3289056","0","","R1","No"
"473","117","Roslagen Racing BMW 323 compact","50","57","1:49.912","70.0","1:09:38.052","10:52:20.450","111","154","3","","7722653","0","","Standard","No"
"474","10","Tommes Pack Seat Leon","57","57","1:44.289","73.8","1:09:39.961","10:52:22.359","187","180","3","","9788538","0","","R2","No"
"475","99999","Miata TOT592","6","57","1:42.257","75.2","1:09:43.110","10:52:25.508","127","177","3","","2546610","0","","rest","No"
"476","190","MoMo Racing Team MRT","50","57","1:13.777","104.3","1:10:34.358","10:53:16.756","128","163","9","","7493526","0","","R2","No"
"477","3","Häzen","53","57","1:11.506","107.6","1:10:35.773","10:53:18.171","103","149","9","","9515691","0","","R1","No"
"478","27","BET","51","57","1:19.778","96.4","1:10:43.665","10:53:26.063","130","157","9","","7647018","0","","R1","No"
"479","47","Nordic Light Racing","58","58","1:12.500","106.1","1:10:43.954","10:53:26.352","128","181","9","","7650748","0","","R2","No"
"480","555","Team Hau Nau","31","58","1:18.250","98.3","1:10:44.632","10:53:27.030","72","145","9","","7637509","0","","R1","No"
"481","8","Team Skeppsbrons","55","58","1:19.017","97.4","1:10:45.104","10:53:27.502","145","160","9","","4867808","0","","R1","No"
"482","30","Team Gävlarna","55","58","1:13.836","104.2","1:10:45.707","10:53:28.105","136","164","9","","3289056","0","","R1","No"
"483","10","Tommes Pack Seat Leon","58","58","1:22.047","93.8","1:11:02.008","10:53:44.406","184","179","9","","9788538","0","","R2","No"
"484","117","Roslagen Racing BMW 323 compact","51","58","1:25.099","90.4","1:11:03.151","10:53:45.549","108","150","9","","7722653","0","","Standard","No"
"485","99999","Miata TOT592","7","58","1:21.383","94.5","1:11:04.493","10:53:46.891","133","178","9","","2546610","0","","rest","No"
"486","190","MoMo Racing Team MRT","51","58","1:11.629","107.4","1:11:45.987","10:54:28.385","128","162","3","","7493526","0","","R2","No"
"487","3","Häzen","54","58","1:10.774","108.7","1:11:46.547","10:54:28.945","108","147","3","","9515691","0","","R1","No"
"488","47","Nordic Light Racing","59","59","1:18.706","97.7","1:12:02.660","10:54:45.058","116","183","3","","7650748","0","","R2","No"
"489","555","Team Hau Nau","32","59","1:18.945","97.5","1:12:03.577","10:54:45.975","69","148","3","","7637509","0","","R1","No"
"490","27","BET","52","59","1:22.673","93.1","1:12:06.338","10:54:48.736","155","160","3","","7647018","0","","R1","No"
"491","8","Team Skeppsbrons","56","59","1:22.381","93.4","1:12:07.485","10:54:49.883","165","157","3","","4867808","0","","R1","No"
"492","30","Team Gävlarna","56","59","1:24.128","91.4","1:12:09.835","10:54:52.233","126","162","3","","3289056","0","","R1","No"
"493","10","Tommes Pack Seat Leon","59","59","1:12.325","106.4","1:12:14.333","10:54:56.731","154","180","3","","9788538","0","","R2","No"
"494","117","Roslagen Racing BMW 323 compact","52","59","1:14.648","103.1","1:12:17.799","10:55:00.197","100","150","3","","7722653","0","","Standard","No"
"495","99999","Miata TOT592","8","59","1:19.157","97.2","1:12:23.650","10:55:06.048","134","178","3","","2546610","0","","rest","No"
"496","3","Häzen","55","59","1:09.982","109.9","1:12:56.529","10:55:38.927","106","148","3","","9515691","0","","R1","No"
"497","190","MoMo Racing Team MRT","52","59","1:11.413","107.7","1:12:57.400","10:55:39.798","127","162","3","","7493526","0","","R2","No"
"498","47","Nordic Light Racing","60","60","1:04.317","119.6","1:13:06.977","10:55:49.375","120","182","3","","7650748","0","","R2","No"
"499","555","Team Hau Nau","33","60","1:07.810","113.5","1:13:11.387","10:55:53.785","78","148","3","","7637509","0","","R1","No"
"500","27","BET","53","60","1:12.282","106.4","1:13:18.620","10:56:01.018","114","158","3","","7647018","0","","R1","No"
"501","8","Team Skeppsbrons","57","60","1:12.649","105.9","1:13:20.134","10:56:02.532","146","161","3","","4867808","0","","R1","No"
"502","30","Team Gävlarna","57","60","1:14.804","102.8","1:13:24.639","10:56:07.037","132","163","3","","3289056","0","","R1","No"
"503","10","Tommes Pack Seat Leon","60","60","1:14.206","103.7","1:13:28.539","10:56:10.937","167","181","3","","9788538","0","","R2","No"
"504","117","Roslagen Racing BMW 323 compact","53","60","1:17.906","98.7","1:13:35.705","10:56:18.103","88","147","3","","7722653","0","","Standard","No"
"505","99999","Miata TOT592","9","60","1:19.702","96.5","1:13:43.352","10:56:25.750","162","179","3","","2546610","0","","rest","No"
"506","3","Häzen","56","60","1:09.809","110.2","1:14:06.338","10:56:48.736","115","148","3","","9515691","0","","R1","No"
"507","190","MoMo Racing Team MRT","53","60","1:10.380","109.3","1:14:07.780","10:56:50.178","127","163","3","","7493526","0","","R2","No"
"508","47","Nordic Light Racing","61","61","1:03.532","121.1","1:14:10.509","10:56:52.907","106","177","3","","7650748","0","","R2","No"
"509","27","BET","54","61","1:09.220","111.1","1:14:27.840","10:57:10.238","120","155","3","","7647018","0","","R1","No"
"510","8","Team Skeppsbrons","58","61","1:10.633","108.9","1:14:30.767","10:57:13.165","141","157","14","","4867808","0","","R1","No"
"511","30","Team Gävlarna","58","61","1:13.140","105.2","1:14:37.779","10:57:20.177","148","164","14","","3289056","0","","R1","No"
"512","10","Tommes Pack Seat Leon","61","61","1:09.609","110.5","1:14:38.148","10:57:20.546","176","180","14","","9788538","0","","R2","No"
"513","117","Roslagen Racing BMW 323 compact","54","61","1:18.209","98.4","1:14:53.914","10:57:36.312","92","147","14","","7722653","0","","Standard","No"
"514","99999","Miata TOT592","10","61","1:17.997","98.6","1:15:01.349","10:57:43.747","131","178","14","","2546610","0","","rest","No"
"515","47","Nordic Light Racing","62","62","1:04.541","119.2","1:15:15.050","10:57:57.448","113","177","14","","7650748","0","","R2","No"
"516","3","Häzen","57","62","1:10.690","108.8","1:15:17.028","10:57:59.426","122","148","14","","9515691","0","","R1","No"
"517","190","MoMo Racing Team MRT","54","62","1:10.520","109.1","1:15:18.300","10:58:00.698","124","163","14","","7493526","0","","R2","No"
"518","27","BET","55","62","1:11.783","107.2","1:15:39.623","10:58:22.021","118","156","7","","7647018","0","","R1","No"
"519","8","Team Skeppsbrons","59","62","1:12.190","106.6","1:15:42.957","10:58:25.355","140","157","7","","4867808","0","","R1","No"
"520","30","Team Gävlarna","59","62","1:09.130","111.3","1:15:46.909","10:58:29.307","138","163","7","","3289056","0","","R1","No"
"521","10","Tommes Pack Seat Leon","62","62","1:10.307","109.4","1:15:48.455","10:58:30.853","162","178","7","","9788538","0","","R2","No"
"522","117","Roslagen Racing BMW 323 compact","55","62","1:14.737","102.9","1:16:08.651","10:58:51.049","102","151","7","","7722653","0","","Standard","No"
"523","99999","Miata TOT592","11","62","1:14.101","103.8","1:16:15.450","10:58:57.848","128","176","7","","2546610","0","","rest","No"
"524","47","Nordic Light Racing","63","63","1:03.829","120.5","1:16:18.879","10:59:01.277","114","181","7","","7650748","0","","R2","No"
"525","3","Häzen","58","63","1:10.098","109.7","1:16:27.126","10:59:09.524","107","148","7","","9515691","0","","R1","No"
"526","190","MoMo Racing Team MRT","55","63","1:11.574","107.5","1:16:29.874","10:59:12.272","129","163","7","","7493526","0","","R2","No"
"527","27","BET","56","63","1:08.749","111.9","1:16:48.372","10:59:30.770","120","158","6","","7647018","0","","R1","No"
"528","8","Team Skeppsbrons","60","63","1:08.706","112.0","1:16:51.663","10:59:34.061","139","159","6","","4867808","0","","R1","No"
"529","10","Tommes Pack Seat Leon","63","63","1:07.934","113.2","1:16:56.389","10:59:38.787","158","180","6","","9788538","0","","R2","No"
"530","30","Team Gävlarna","60","63","1:10.117","109.7","1:16:57.026","10:59:39.424","131","162","6","","3289056","0","","R1","No"
"531","117","Roslagen Racing BMW 323 compact","56","63","1:13.541","104.6","1:17:22.192","11:00:04.590","100","149","6","","7722653","0","","Standard","No"
"532","47","Nordic Light Racing","64","64","1:08.415","112.4","1:17:27.294","11:00:09.692","123","177","6","","7650748","0","","R2","No"
"533","99999","Miata TOT592","12","64","1:19.208","97.1","1:17:34.658","11:00:17.056","124","177","3","","2546610","0","","rest","No"
"534","3","Häzen","59","64","1:09.888","110.1","1:17:37.014","11:00:19.412","106","148","3","","9515691","0","","R1","No"
"535","190","MoMo Racing Team MRT","56","64","1:11.784","107.2","1:17:41.658","11:00:24.056","127","162","3","","7493526","0","","R2","No"
"536","27","BET","57","64","1:09.245","111.1","1:17:57.617","11:00:40.015","122","156","3","","7647018","0","","R1","No"
"537","8","Team Skeppsbrons","61","64","1:08.643","112.1","1:18:00.306","11:00:42.704","143","160","3","","4867808","0","","R1","No"
"538","10","Tommes Pack Seat Leon","64","64","1:09.341","110.9","1:18:05.730","11:00:48.128","152","177","3","","9788538","0","","R2","No"
"539","30","Team Gävlarna","61","64","1:09.807","110.2","1:18:06.833","11:00:49.231","137","165","3","","3289056","0","","R1","No"
"540","47","Nordic Light Racing","65","65","1:07.027","114.8","1:18:34.321","11:01:16.719","118","183","3","","7650748","0","","R2","No"
"541","117","Roslagen Racing BMW 323 compact","57","65","1:14.309","103.5","1:18:36.501","11:01:18.899","102","148","3","","7722653","0","","Standard","No"
"542","3","Häzen","60","65","1:12.155","106.6","1:18:49.169","11:01:31.567","116","148","3","","9515691","0","","R1","No"
"543","190","MoMo Racing Team MRT","57","65","1:11.078","108.2","1:18:52.736","11:01:35.134","121","163","3","","7493526","0","","R2","No"
"544","99999","Miata TOT592","13","65","1:19.020","97.4","1:18:53.678","11:01:36.076","133","177","3","","2546610","0","","rest","No"
"545","27","BET","58","65","1:11.199","108.1","1:19:08.816","11:01:51.214","123","156","3","","7647018","0","","R1","No"
"546","8","Team Skeppsbrons","62","65","1:09.336","111.0","1:19:09.642","11:01:52.040","133","157","3","","4867808","0","","R1","No"
"547","10","Tommes Pack Seat Leon","65","65","1:05.732","117.0","1:19:11.462","11:01:53.860","152","178","3","","9788538","0","","R2","No"
"548","30","Team Gävlarna","62","65","1:09.202","111.2","1:19:16.035","11:01:58.433","121","160","3","","3289056","0","","R1","No"
"549","47","Nordic Light Racing","66","66","1:06.340","116.0","1:19:40.661","11:02:23.059","121","182","3","","7650748","0","","R2","No"
"550","117","Roslagen Racing BMW 323 compact","58","66","1:13.482","104.7","1:19:49.983","11:02:32.381","111","152","3","","7722653","0","","Standard","No"
"551","3","Häzen","61","66","1:12.513","106.1","1:20:01.682","11:02:44.080","109","148","3","","9515691","0","","R1","No"
"552","190","MoMo Racing Team MRT","58","66","1:12.713","105.8","1:20:05.449","11:02:47.847","119","162","3","","7493526","0","","R2","No"
"553","99999","Miata TOT592","14","66","1:16.686","100.3","1:20:10.364","11:02:52.762","119","174","3","","2546610","0","","rest","No"
"554","27","BET","59","66","1:11.431","107.7","1:20:20.247","11:03:02.645","122","157","3","","7647018","0","","R1","No"
"555","10","Tommes Pack Seat Leon","66","66","1:09.816","110.2","1:20:21.278","11:03:03.676","173","177","3","","9788538","0","","R2","No"
"556","8","Team Skeppsbrons","63","66","1:11.976","106.9","1:20:21.618","11:03:04.016","155","159","3","","4867808","0","","R1","No"
"557","30","Team Gävlarna","63","66","1:08.461","112.4","1:20:24.496","11:03:06.894","137","163","3","","3289056","0","","R1","No"
"558","47","Nordic Light Racing","67","67","1:03.147","121.8","1:20:43.808","11:03:26.206","118","182","3","","7650748","0","","R2","No"
"559","117","Roslagen Racing BMW 323 compact","59","67","1:13.551","104.6","1:21:03.534","11:03:45.932","98","150","3","","7722653","0","","Standard","No"
"560","3","Häzen","62","67","1:10.584","109.0","1:21:12.266","11:03:54.664","110","147","3","","9515691","0","","R1","No"
"561","190","MoMo Racing Team MRT","59","67","1:11.571","107.5","1:21:17.020","11:03:59.418","123","162","3","","7493526","0","","R2","No"
"562","99999","Miata TOT592","15","67","1:15.158","102.4","1:21:25.522","11:04:07.920","134","178","3","","2546610","0","","rest","No"
"563","10","Tommes Pack Seat Leon","67","67","1:08.512","112.3","1:21:29.790","11:04:12.188","156","179","3","","9788538","0","","R2","No"
"564","27","BET","60","67","1:11.677","107.3","1:21:31.924","11:04:14.322","127","155","7","","7647018","0","","R1","No"
"565","8","Team Skeppsbrons","64","67","1:10.633","108.9","1:21:32.251","11:04:14.649","145","159","7","","4867808","0","","R1","No"
"566","30","Team Gävlarna","64","67","1:09.621","110.5","1:21:34.117","11:04:16.515","130","162","7","","3289056","0","","R1","No"
"567","47","Nordic Light Racing","68","68","1:06.046","116.5","1:21:49.854","11:04:32.252","117","183","7","","7650748","0","","R2","No"
"568","117","Roslagen Racing BMW 323 compact","60","68","1:13.819","104.2","1:22:17.353","11:04:59.751","94","149","7","","7722653","0","","Standard","No"
"569","3","Häzen","63","68","1:11.568","107.5","1:22:23.834","11:05:06.232","109","146","7","","9515691","0","","R1","No"
"570","190","MoMo Racing Team MRT","60","68","1:11.386","107.8","1:22:28.406","11:05:10.804","129","159","7","","7493526","0","","R2","No"
"571","10","Tommes Pack Seat Leon","68","68","1:09.961","110.0","1:22:39.751","11:05:22.149","151","180","3","","9788538","0","","R2","No"
"572","99999","Miata TOT592","16","68","1:14.241","103.6","1:22:39.763","11:05:22.161","59","172","3","","2546610","0","","rest","No"
"573","27","BET","61","68","1:10.841","108.6","1:22:42.765","11:05:25.163","116","155","3","","7647018","0","","R1","No"
